carnet de identidad|identification form
apellido|last name
nombre y apellidos|first (and middle) name(s)
edad|age
nacionalidad|nationality
domicilio actual|current address
professión|profession
aficiones|pastimes
preguntas personales|personal questions
¿Cuál es tu nombre?|What is your name?
¿Cuántos años tienes?|How old are you?
¿Cuál es tu nacionalidad?|What is your nationality?
¿De dónde eres?|Where are you from?
¿Dónde vives?|Where do you live?
¿A qué te dedicas?|What do you do for a living?
¿Cuáles son tus aficiones?|What are your favorite pastimes?
la familia|the family
un hombre|man
una mujer, esposa|woman, wife
un marido|husband
un prometido / una prometida|fiancé / fiancée
los padres, parientes|parents, relatives
un padre|father
una madre|mother
un niño / una niña|child
un hijo|son
una hija|daughter
hijo único|only child (male)
hija única|only child (female)
un hermano|brother
una hermana|sister
los abuelos|grandparents
un abuelo|grandfather
una abuela|grandmother
un nieto / una nieta|grandchild
un tío|uncle
una tía|aunt
un sobrino|nephew
una sobrina|niece
amigos|friends
un amigo / una amiga|friend
un amigo / una amiga|friend
un novio / una novia|friend; boyfriend / girlfriend
preguntas interrogativas|interrogative words
¿dónde?|where?
¿cuándo?|when?
¿quién?|who?
¿cómo?|how?
¿cuál? / ¿cuáles?|which?
¿Por qué?|why?
porque|because
la hora|time
la hora|the time
¿Qué hora es?|What time is it?
Son las 8 en punto.|It's 8 o'clock.
Son las ocho y diez.|It's ten after 8.
Son las 8 y cuarto.|It's quarter after 8.
Son las 8 y veinticinco.|It's twenty-five after 8.
Son las ocho y media.|It's eight-thirty.
Son las nueve menos veinte.|It's twenty to nine.
Son las nueve menos cuarto.|It's quarter to nine.
Es mediodía.|It's noon.
Son las doze y media.|It's twelve-thirty.
Es medianoche.|It's midnight.
Son las tres en punto...|It's three o'clock...
por la mañana|in the morning (3 a.m.)
por la tarde|in the afternoon (3 p.m.)
Son las siete en punto...|It's seven o'clock...
por la tarde-noche|in the evening (7 p.m.)
la hora oficial|official time
Son las 10 de la mañana.|It's 10 a.m.
Son las 12:05h.|It's 12:05 p.m.
Son la 13:15h.|It's 1:15 p.m.
Son las 15:35h.|It's 3:35 p.m.
Son las 18:45h.|It's 6:45 p.m.
Son las 22:59h.|It's 10:59 p.m.
aficiones y actividades|pastimes and activities
tener|to have
necesitar|to need
tener la necesidad de|to feel like (to want to)
tener la intención de|to intend (to)
buscar|to look for
encontrar|to find
(El que busca lo encuentra!)|(Who looks for (searches), finds!)
enamorarse de|to fall in love
besar|to kiss
escuchar...|to listen to...
la música|music
cantar|to sing
bailar|to dance
gustar, querer, amar|to like, to love
la música clásica / el jazz|classical music / jazz
el hip-hop / la techno|hip-hop / techno
el deporte / el tennis / el fútbol|sports / tennis / soccer
el baloncesto / el golf / correr|basketball / golf / running
preferir|to prefer
adorar|to adore
detestar|to detest
vivir|to live
quedarse en casa|to stay at home
estudiar|to study
leer|to read
olvidar|to forget
ver la televisión|to watch television
llamar por teléfono|to telephone
hablar|to speak
jugar...|to play...
al fútbol / al tennis / a las cartas|soccer / tennis / cards
la guitarra / el piano|guitar / piano
nadar|to swim
encontrar|to meet
soñar|to dream
trabajar|to work
viajar|to travel
adverbios|adverbs
también|also
ahora|now
después|later
mucho|a lot
un poco|little / a little
raramente|rarely
a veces|at times
algunas veces|sometimes
a menudo|often
siempre|always
jamás / nunca|never
continentes, Países, Nacionalidades|continents, Countries, Nationalities
un continente|continent
un país|country
Africa / Africano(a)|Africa / African
Argelia / Argelino(a) / |Algeria / Algerian
Marruecos / Marroquí|Morocco / Moroccan
Senegal / Senegalés(sa)|Senegal / Senegalese
Tunez / Tunecino(a)|Tunisia / Tunisian
Norte America / Norte Americano(a)|North America
Canada / Canadiense|Canada / Canadian
Estados Unidos / Americano(a)|United States / American
México / Mexicano(a)|Mexico / Mexican
Suramérica / Suramericano(a)|South American
Guayana Francesa / Guayanés(sa)|French Guyana / Guyanese
Asia / Asiático(a)|Asia / Asian
China / Chino(a)|China / Chinese
Japonés / Japonés(sa)|Japan / Japanese
Vietnam / Vietnamita|Vietnam / Vietnamese
Oceania |Oceania (the South Sea Islands)
Australia / Australiano(a)|Australia / Australian
Europa / Europeo(a)|Europe / European
Alemania / Alemán(a)|Germany / German
Inglaterra / Inglés(sa)|England / English
Bélgica / Belga|Belgium / Belgian
España / Español(a) |Spain / Spanish
Francia / francés(sa)|France / French
Italia / Italiano(a)|Italy / Italian
Suiza / Suizo(a)|Switzerland / Swiss
