en la mesa|à table|at the table
un vaso|un verre|glass
una taza|une tasse|cup
un bol|un bol|bowl
un plato|une assiette|plate
un cuchillo|un couteau|knife
un tenedor|une fourchette|fork
una cuchara|une cuillère|spoon
la cocina|la cuisine|kitchen, cooking
una comida|un repas|meal
desayuno|le petit déjeuner|breakfast
almuerzo|le déjeuner|lunch
aperitivo|le goûter|snack
cena|le dîner|dinner, supper
en el mercado, en el supermercado|au marché, au supermarché|at the market, at the supermarket
las frutas|des fruits (m)|fruits
los plátanos|des bananes (f)|bananas
las cerezas|des cerises (f)|cherries
los limones|des citrons (m)|lemons
las fresas|des fraises (f)|strawberries
las frambuesas|des framboises (f)|raspberries
las naranjas|des oranges (f)|oranges
los pomelos|des pamplemousses (m)|grapefruit
los melocotones|des pêches (f)|peaches
las peras|des poires (f)|pears
las manzanas|des pommes (f)|apples
las uvas|du raisin|grapes
las verduras|des légumes (m)|vegetables
el ajo|de l'ail (m)|garlic
los espárragos|des asperges (f)|asparagus
las berenjenas|des aubergines (f)|eggplants
las zanahorias|des carottes (f)|carrots
los champiñones|des champignons (m)|mushrooms
el repollo|des choux (m)|cabbage
los pepinos|des concombres (m)|cucumbers
el calabacín|des courgettes (f)|zucchini
las espinacas|des épinards (m)|spinach
las judías verdes|des haricots verts (m)|green beans
la lechuga|une/de la laitue|lettuce
las cebollas|des oignons (m)|onions
los guisantes|des petits pois (m)|peas
los puerros|des poireaux (m)|leeks
los pimientos verdes|des poivrons verts (m)|green peppers
las patatas|des pommes de terre (f)|potatoes
la ensalada, la lechuga|de la salade|salad, lettuce
los tomates|des tomates (f)|tomatoes
la carnicería|à la boucherie|at the butcher shop
En la carnicería, (tu) compras ...|Chez le boucher, on achète ...|At the butcher's, you buy ...
la carne|de la viande|meat
carne de res|du boeuf|beef
carne de cerdo|du porc|pork
carne de ternera|du veau|veal
pato|du canard|duck
pavo|de la dinde|turkey
pollo|du poulet|chicken
en la charcutería, delicatessen|à la charcuterie|at the pork butcher shop, delicatessen
En la charcutería, (tu) compras ...|Chez le charcutier, on achète ...|At the pork butcher's, you buy ...
el jamón|du jambon|ham
el paté|du pâté|pâté
las salchichas|des saucisses (f)|sausages
el salchichón|du saucisson|hard sausage
en la pescaderia|à la poissonnerie|at the seafood shop
En la pescaderia, (tu) compras|Chez le poissonnier, on achète ...|At the fish merchant's, you buy ...
pescado|du poisson|fish
salmón|du saumon|salmon
lenguado|de la sole|sole
atún|du thon|tuna
en la frutería|à l'épicerie|at the grocery store
En la frutería, (tu) encuentras ...|Chez l'épicier, on trouve ...|At the grocer's, you find ...
cereal|des céréales (m)|cereal
huevos|un oeuf, des oeufs|eggs
nueces|des noix (f)|walnuts
productos lácteos|des produits laitiers|dairy products
mantequilla|du beurre|butter
leche|du lait|milk
queso|du fromage|cheese
yogurt|du yaourt|yogurt
helado|de la glace|ice cream
espécies|des épices (f)|spices
sal|du sel|salt
pimienta|du poivre|pepper
aceite|de l'huile (f)|oil
vinagre|du vinaigre|vinegar
mayonesa|de la mayonnaise|mayonnaise
mostaza|de la moutarde|mustard
en la panadería|à la boulangerie-pâtisserie|at the bakery-pastry shop
En la panadería, (tu) encuentras ...|Chez le boulanger, on trouve ...|At the baker's, you find ...
pan|du pain|bread
una barra de pan|une baguette|baguette
un bollo|une brioche|brioche
un cruasán|un croissant|croissant
un panecillo|un petit pain|roll
En la pastelería, (tu) encuentras ...|Chez le patissier, on trouve ...|At the pastry chef's, you find ...
las pastas|des pâtisseries (f)|pastries
un pastel|un gâteau|cake
un pastel de chocolate|un gâteau au chocolat|chocolate cake
una tarta|une tarte|tart
una tarta de manzana|une tarte aux pommes|apple tart
una tarta de limón|une tarte au citron|lemon tart
