en casa|at home
una casa|house
un apartamento|apartment
residencia universitaria|university dorm
una habitación|a room (general term)
una ventana|window
un mueble / unos muebles|a piece of furniture / furniture
planta baja, primer piso|ground floor, first floor
escaleras|staircase, stairs
un balcón|balcony
una terraza|terrace
un jardín|garden, yard
habitaciones|rooms
una entrada|entranceway
un recibidor|foyer
un salón|living room
comedor|dining room
una cocina|kitchen
un salón|hallway
un dormitorio|bedroom
un cuarto de baño|bathroom
un baño|toilet
un lavadero|laundry room
ático|attic
sótano, bodega|cellar, wine cellar
un garage|garage
En el dormitorio hay...|In the bedroom there is/are...
una cama|bed
una mesita de noche|nightstand
un armario|armoire
una cajonera|chest of drawers
un escritorio|desk
una estantería|bookcase
una lámpara|lamp
un armario|closet
una alfombra|carpet (wall to wall)
un reproductor de DVD / MP3|DVD / MP3 player
un ordenador|computer
un teléfono|telephone
en el baño hay ...|in the bathroom there is/are ...
una bañera|bathtub
una ducha|shower
un fregadero|sink
un espejo|mirror
en el salón hay ...|in the living room there is/are ...
un sofá|couch
un sillón|armchair
una mesita|coffee table
una televisión|television
pintando / cuadros|painting / paintings
un tapete|area rug or carpet
en el comedor hay ...|in the dining room there is/are ...
una mesa|table
una silla|chair
una cómoda|hutch, buffet
en la cocina hay ...|in the kitchen there is/are ...
un refrigerador / una nevera|refrigerator / fridge
un congelador|freezer
una estufa|stove
un horno|oven
un microondas|microwave
un lavavajillas|dishwasher
un fregadero|sink
un armario|cabinet
un contenedor de basura|trash can
en el lavadero hay ...|in the laundry room there is/are ...
una lavadora|washing machine
una secadora|dryer
las tareas de casa|household chores
ir a comprar|to go shopping
ir a hacer la compra|to do the grocery shopping
hacer los recados|to do errands
hacer las tareas de casa|to do housework
cocinar|to cook
lavar los platos|to do the dishes
limpiar y ordenar|to straighten up
hacer la cama|to make the bed
pasar la aspiradora|to pass the vacuum cleaner
hacer la colada|to do laundry
planchar|to iron
hacer reparaciones|to make home repairs or improvements
adjetivos|adjectives
viejo|old
moderno|modern
oscuro|dark
radiante, lleno de luz|bright, full of light
desordenado|messy
en orden|straightened up
limpio|clean
sucio|dirty
práctico|practical
cómodo|comfortable
verbos|verbs
mudarse|to move (change residences)
verbos reflexivos|reflexive verbs
divertirse|to have fun
aburrirse|to be bored
darse prisa|to hurry
preocuparse|to worry
enfadarse|to get angry
verbos recíprocos|reciprocal verbs
discutirse|to argue (with one another)
llevarse bien|to get along (with one another)
hablarse|to talk to (one another)
