tervehdys|greetings
Herra|Sir
Rouva|Ma'am (Mrs.)
Neiti|Miss
Hyvää päivää|Good day (Hello), Sir
Hyvää iltaa|Good evening
Näkemiin|Goodbye
Hei!|Hi!
Nähdään kohta.|See you in a little while.
Nähdään illalla.|See you this evening.
Nähdään huomenna.|See you tomorrow.
Nähdään pian.|See you soon.
Mikä teidän nimenne on?|What's your name? (formal)
Mikä sinun nimesi on?|What's your name? (informal)
Nimeni on ...|My name is ...
Kuinka voitte?|How are you? (formal)
Mitä kuuluu?|How are you? (informal)
Minulle kuuluu oikein hyvää, kiitos.|I am very well, thank you.
Minulle kuuluu hyvää, kiitos.|I am fine, thank you.
Ei hassumpaa, kiitos.|Not bad, thank you.
Miten menee?|How are things going?
Hyvin, kiitos!|Great, thanks!
Miten voit?|Are things going (well)?
Ihan hyvin.|Things are going (well).
Entä te? Mistä olette kotoisin?|And you? Where are you from? (formal)
Entä sinä? Mistä olet kotoisin?|And you? Where are you from? (informal)
esittelyt|introductions
Haluaisin esitellä teille ...|Sir, I would like to introduce to you ... (formal)
Hän on ...|This is ... (informal)
Tässä on ...|This is ...
Kuka hän on?|Who is it?
Hän on ...|It's ...
He ovat ...|They are ...
Mikä hänen nimensä on?|What's his/her name?
Hänen nimensä on ...|His/Her name is ...
Hän on kotoisin ...|He/She is from ...
Mitkä heidän nimensä ovat? / Minkä nimisiä he ovat?|What are their names?
Heidän nimensä ovat ...|Their names are ...
Mitä hän tekee työkseen?|What does he/she do?
Mitä he tekevät työkseen?|What do they do?
Hän on ...|He/She is a/an ...
näyttelijä (m, f) / näyttelijätär (f)|actor / actress
arkkitehti|architect
laulaja (m, f) / laulajatar (f)|singer
kampaaja|hair dresser
hammaslääkäri|dentist
insinööri|engineer
journalisti|journalist
lääkäri|doctor
opettaja, professori|teacher, professor
eläkeläinen|retired man/woman
harjoittelija|intern
luokkahuone|the classroom
Mikä se on?|What is it?
Se on ...|It's ...
Se on luokkahuone.|It's a classroom.
Luokkahuoneessa on ...|In the classroom, there is ...
ovi|door
ikkuna|window
liitutaulu|blackboard
televisio|television
(maailman)kartta|map (of the world)
juliste|poster
tuoli|chair
pöytä, työpöytä|desk
Pöydällä on ...|On the desk, there is ...
liitu|chalk
lyijykynä|pencil
kynä|pen
vihko|notebook
kirja|book
sanakirja|dictionary
reppu|backpack
Laboratoriossa on ...|In the lab, there are ...
tietokoneita|computers
Opiskelijat ovat työn touhussa!|The students work!
kotiläksy|homework
harjoitus|exercise
koe|test
luokassa|in class
Kuuntele.|Listen.
Kirjoita.|Write.
Nosta kätesi.|Raise your finger (hand).
Toista.|Repeat.
Avatkaa kirjanne.|Open your books.
Kääntäkää sivulle ...|Turn to page ...
olkaa hyvät|please
Ymmärrätkö?|Do you understand?
Kyllä, ymmärrän.|Yes, I understand.
Ei, en ymmärrä.|No, I don't understand.
Mitä ... tarkoittaa?|What does ... mean?
Kuinka sanotaan ...?|How do you say ...?
Tässä on (tässä ovat) ...|Here is ... (here are ...)
Tuossa on (tuossa ovat) ...|There is ... (there are ...)
Tässä on ...|There is, there are ...
Kuinka monta ... on?|There are how many ...?
Perusluvut 1-69|Cardinal Numbers 1-69
yksi|1
kaksi|2
kolme|3
neljä|4
viisi|5
kuusi|6
seitsemän|7
kahdeksan|8
yhdeksän|9
kymmenen|10
yksitoista|11
kaksitoista|12
kolmetoista|13
neljätoista|14
viisitoista|15
kuusitoista|16
seitsemäntoista|17
kahdeksantoista|18
yhdeksäntoista|19
kaksikymmentä|20
kaksikymmentäyksi|21
kaksikymmentäkaksi|22
kaksikymmentäkolme|23
kaksikymmentäneljä|24
kaksikymmentäviisi|25
kaksikymmentäkuusi|26
kaksikymmentäseitsemän|27
kaksikymmentäkahdeksan|28
kaksikymmentäyhdeksän|29
kolmekymmentä|30
kolmekymmentäyksi|31
kolmekymmentäkaksi|32
kolmekymmentäyhdeksän|39
neljäkymmentä|40
neljäkymmentäyksi|41
neljäkymmentäkaksi|42
neljäkymmentäyhdeksän|49
viisikymmentä|50
viisikymmentäyksi|51
viisikymmentäkaksi|52
viisikymmentäyhdeksän|59
kuusikymmentä|60
kuusikymmentäyksi|61
kuusikymmentäkaksi|62
kuusikymmentäyhdeksän|69
päivämäärä|the date
kalenteri|calendar
päivä|day
Mitkä ovat viikonpäivät?|What are the days of the week?
maanantai|Monday
tiistai|Tuesday
keskiviikko|Wednesday
torstai|Thursday
perjantai|Friday
lauantai|Saturday
sunnuntai|Sunday
Mikä viikonpäivä on?|What day is it?
On maanantai.|It's Monday.
tänään|today
huomenna|tomorrow
viikko|week
seuraava viikko|next week
viime viikko|last week
Mikä päivä on?|What's the date?
On 1. syyskuuta. / On syyskuun ensimmäinen.|It's September 1st.
On 2. lokakuuta. / On lokakuun toinen.|It's October 2nd.
On 30. elokuuta.|It's August 30th.
kuukausi|month
Mitkä ovat kuukaudet?|What are the months of the year?
tammikuu|January
helmikuu|February
maaliskuu|March
huhtikuu|April
toukokuu|May
kesäkuu|June
heinäkuu|July
elokuu|August
syyskuu|September
lokakuu|October
marraskuu|November
joulukuu|December
