työelämä|the working world
liiketoiminta, bisnes|business
yritys, firma|firm, business
toimisto|office
asiakas|client, customer
ammatti|profession
työ|job
osa-aikainen/kokoaikainen työ/tehtävä|half-time/full-time position
työtön henkilö|unemployed person
työmarkkinat|job market
avoimet työpaikat, ilmoitukset|classified ads
ansioluettelo, CV|résumé
haastattelu|interview
työsuhde-edut|benefits (health insurance, retirement plan, etc.)
palkka|salary
lomapäivät|vacation days
ylennys|promotion
eläke|retirement
eläkeläinen|retired person
ammatit|professions
virkamies, virkailija|civil servant, government worker
postinjakaja|mail carrier
sotilas, varusmies, reserviläinen|person in the armed services
poliisi|police officer
palomies, pelastaja|firefighter
opettaja|teacher
sosiaalityöntekijä|social worker
lääkäri, tohtori|doctor, physician
hammaslääkäri|dentist
sairaanhoitaja|nurse
kiropraktikko, fysioterapeutti|chiropractor, physical therapist
psykologi|psychologist
optikko|optician
farmaseutti|pharmacist
lakimies, juristi|lawyer
pankkiiri|banker
toimitusjohtaja, yrittäjä|company head, business owner
pomo|boss
toimitusjohtaja|CEO
esimies, johtaja|executive
kirjanpitäjä|accountant
mainonnan ammattilainen|advertising agent
sihteeri|secretary
työntekijä, toimihenkilö (konttorityöntekijä)|employee (office employee)
työläinen, duunari (informal)|blue collar worker
tehdas|factory
IT-asiantuntija, ohjelmistokehittäjä|computer scientist
insinööri|engineer
tutkija|researcher
teknikko|technician
omistaja|owner
kauppias|shopkeeper, store owner
myyjä|salesperson
kassanhoitaja|cashier
ravintoloitsija|restaurant owner
kokki|cook
tarjoilija|wait person
leipuri|a baker
muotisuunnittelija, ompelija|fashion designer, seamstress
kampaaja (for women), parturi (for men)|hairdresser
(elokuva-, taide- jne.)kriitikko|critic (film, art, etc.)
kirjailija|writer
toimittaja, reportteri, journalisti|reporter, journalist
maalari|painter
muusikko|musician
matkatoimistovirkailija, matkamyyjä|travel agent
kotirouva|housewife
adjektiivit|adjectives
hankala, rankka, vaikea|hard, tough, difficult
dynaaminen|dynamic
rehellinen, rehti|honest
mukaansatempaava, kiehtova|enthralling, fascinating
hyödyllinen|useful
hyödytön|useless
käytetty|second-hand, used
verbit|verbs
etsiä työtä|to look for a job
hakea työtä|to apply for a job
varata/sopia tapaaminen|to make an appointment
täyttää lomake|to fill out a form
palkata / saada työpaikka / päästä töihin|to hire / to be hired
johtaa|to manage, direct, organize
tienata elantonsa / ansaita rahaa|to earn a living / to earn money
maksaa veroja|to pay taxes
olla työtön|to be unemployed
olla eläkkeellä|to be retired
