raha-asiat|finances
pankki|bank
säästöpankki|savings and loan association
(pankki)tili|(bank) account
pankkiautomaatti|ATM (automatic teller machine)
euro|euro (currency)
perintö|inheritance
menot, kulut|expenses
setelit|bills
asunto, kiinteistö|housing
vuokra|rent
ruoka, ravinto|food
viihde|entertainment
puhelinlasku|telephone bill
lukukausimaksu|tuition, education expenses
opintolaina|student loan
vakuutus|insurance
kaasu|gas
asumiskustannukset (sähkö, vesi, lämmitys, jätemaksu)|utilities
verot|taxes
lainat|debts
pörssi|the stock market
osakkeet|stocks
portfolio, salkku|portfolio (also, wallet)
adjektiivit|adjectives
antelias, avokätinen|generous
tuhlaavainen, tuhlari|spendthrift
itara, saita|miserly, stingy
niukka, kitsas|economical, frugal
edullinen, halpa|inexpensive
olla tarjouksessa|to be on sale
hyvä/houkutteleva hinta|a good price
kallis|expensive
olla rahaton, olla P.A. [slang]|to be broke
olla varakas, elää leveästi|to be well off
tyytyväinen|satisfied, fulfilled
verbit - raha-asiat|verbs - finances
maksaa|to cost
kuluttaa|to spend
korvata, hyvittää|to reimburse
lainata|borrow
olla varaa (johonkin)|to have the means to
vuokrata|to rent
tehdä budjetti, budjetoida|to establish a budget
ylittää budjetti|to go beyond one's budget
olla velkaa|to have debts
tuhlata|to waste
säästää|to save money
antaa, tarjota|to give, to offer
rakkauselämä|love life
pariskunta|couple
rakkautta ensisilmäyksellä|love at first sight
intohimoinen rakkaus|passionate love
elämänsä rakkaus|the love of one's life
treffit|date (also an appointment)
suhde|relationship
kihlaus|engagement
kihlattu, morsian (woman), sulhanen (man)|fiancé / fiancée
avioliitto, häät|marriage, wedding
yhteensopivuus|compatibility / matching
ulkonäkö|physical appearance
onnellisuus|happiness
yhteys, kommunikointi|interaction / communication
huumorintaju|sense of humor
kunnioitus|respect
rehellisyys|honesty
romantiikka|romanticism
verbit - rakkauselämä|verbs - love life
iskeä, flirttailla|to try to pick up, to hit on someone, to flirt
olla ystäviä|to be friends
asua yhdessä|to live together
suudella, pussata|to kiss each other
rakastaa toisiaan|to love each other
solmia PACS-sopimus (siviililiitto, avoliitto)|to enter a PACS contract
kihlautua|to get engaged
mennä naimisiin|to get married
erota, dumpata (break up with someone)|to break up
erota|to get divorced
pettää|to cheat on
horoskooppi|horoscope
Mikä on horoskooppimerkkisi?|What's your sign?
merkki|sign
kauris|Capricorn
vesimies|Aquarius
kalat|Pisces
oinas|Aries
härkä|Taurus
kaksoset|Gemini
rapu|Cancer
leijona|Leo
neitsyt|Virgo
vaaka|Libra
skorpioni|Scorpio
jousimies|Sagittarius
