pöydässä|at the table
lasi|glass
muki, kuppi|cup
kulho|bowl
lautanen|plate
veitsi|knife
haarukka|fork
lusikka|spoon
keittiö, ruoanlaitto|kitchen, cooking
ateria|meal
aamupala|breakfast
lounas|lunch
välipala|snack
päivällinen, illallinen|dinner, supper
torilla, kaupassa|at the market, at the supermarket
hedelmät|fruits
banaanit|bananas
kirsikat|cherries
sitruunat|lemons
mansikat|strawberries
vadelmat|raspberries
appelsiinit|oranges
greipit|grapefruit
persikat|peaches
päärynät|pears
omenat|apples
viinirypäleet|grapes
vihannekset|vegetables
valkosipuli|garlic
parsa|asparagus
munakoisot|eggplants
porkkanat|carrots
sienet|mushrooms
kaali|cabbage
kurkut|cucumbers
kesäkurpitsa|zucchini
pinaatti|spinach
vihreät pavut|green beans
salaatti|lettuce
sipulit|onions
herneet|peas
purjot|leeks
vihreät paprikat|green peppers
perunat|potatoes
salaatti|salad, lettuce
tomaatit|tomatoes
teurastajalla|at the butcher shop
Teurastajalta voi ostaa ...|At the butcher's, you buy ...
lihaa|meat
nautaa|beef
porsasta|pork
vasikkaa|veal
ankkaa|duck
kalkkunaa|turkey
kanaa|chicken
leikkelemyymälässä, herkkukaupassa|at the pork butcher shop, delicatessen
Leikkelemyymälästä voi ostaa ...|At the pork butcher's, you buy ...
kinkkua|ham
pateeta|pâté
makkaroita|sausages
(kuivattua) makkaraa|hard sausage
kalakaupassa|at the seafood shop
Kalakauppiaalta voi ostaa ...|At the fish merchant's, you buy ...
kalaa|fish
lohta|salmon
merianturaa|sole
tonnikalaa|tuna
ruokakaupassa|at the grocery store
Ruokakaupasta voi löytää ...|At the grocer's, you find ...
muroja|cereal
kananmunia|eggs
saksanpähkinöitä|walnuts
maitotuotteita, meijerituotteita|dairy products
voita|butter
maitoa|milk
juustoa|cheese
jogurttia, jugurttia|yogurt
jäätelöä|ice cream
mausteita|spices
suolaa|salt
pippuria|pepper
öljyä|oil
etikkaa|vinegar
majoneesi|mayonnaise
sinappi|mustard
leipomossa|at the bakery-pastry shop
Leipomosta voi löytää ...|At the baker's, you find ...
leipää|bread
patongin|baguette
briossin|brioche
kroissantin|croissant
sämpylän|roll
Konditoriasta voi löytää ...|At the pastry chef's, you find ...
leivonnaisia|pastries
kakun|cake
suklaakakun|chocolate cake
piirakan, tortun|tart
omenapiirakan|apple tart
sitruunapiirakan|lemon tart
mansikkatortun|strawberry tart
kahvilassa|at the café
Kahvilasta voi tilata ...|At the café, you order ...
alkoholittomia juomia|non-alcoholic beverages
kahvia|coffee
teetä|tea
Coca-Colaa, cokista (informal)|cola
vettä|water
kivennäisvettä|mineral water
tuoremehua|fruit juice
alkoholijuomia|alcoholic beverages
olutta|beer
samppanjaa|champagne
viiniä|wine
valkoviiniä|white wine
roséviiniä|rosé wine
punaviiniä|red wine
kinkkuvoileivän|sandwich with ham and butter
paahdetun kinkku-juustoleivän|toasted cheese sandwich with ham
kananmunalla kuorrutetun kinkku-juustoleivän|croque-monsieur with a fried egg
piirakan (quiche lorraine, lohipiirakka, jne.)|quiche (lorraine, salmon, etc.)
omeletin, munakkaan (yrttien, juuston kanssa)|omelette (with herbs, cheese)
ravintolassa|at the restaurant
Ravintolasta voi tilata ...|At the restaurant, you order ...
aperitiivin, alkujuoman|before dinner drink
alkuruoan|appetizer / first course
pääruoan|main course
jälkiruoan|dessert
juoman|drink, beverage
perinteisiä ranskalaisia ruokia|typical French dishes
alkupaloja|appetizers
dipattavia vihanneksia|raw vegetables plus vinaigrette
salaatti (pekonilla, pähkinöillä, jne.)|salad (with bacon, nuts, etc.)
sipulikeitto|onion soup
pääruokia|main courses
burgundinpata|beef stewed in red wine
kukkoa viinissä|chicken (rooster) stewed in red wine
pihvi ja ranskalaiset|steak and French fries
jälkiruokia|desserts
suklaamousse|chocolate mousse
karamellivanukas|caramel custard
crème brûlée, paahtovanukas|crème brûlée
suklaafondant|rich chocolate flourless cake
määräsanoja|expressions of quantity
vähän|a little
riittävästi|enough
paljon|a lot
liikaa, liian paljon, liian monta|too much (too many)
lusikallinen|a spoonful of
pullollinen|a bottle of
kannullinen|a pitcher of
litra|a liter of
50 grammaa|50 grams of
kilo|a kilo of
pala|a piece of
viipale|a slice of
purkillinen|a can of
naudanpaisti, paahtopaisti|a beef roast
porsaan kyljys|a pork chop
tusina kananmunia|a dozen eggs
adjektiivit|adjectives
herkullinen|delicious
tuore|fresh
mausteinen|spicy
grillattu|grilled
pilkottu|chopped
suolainen|salty
makea|sweet
verbit|verbs
olla nälkäinen / olla janoinen|to be hungry / to be thirsty
juoda|to drink
syödä lounasta, lounastaa|to have lunch
syödä päivällistä|to have dinner
mennä ruokaostoksille|to go grocery shopping
laittaa ruokaa, kokata (informal)|to cook
ruokailla|to have a meal
pestä astiat|to do the dishes
lihoa|to gain weight
laihduttaa, olla dieetillä|to be on a diet
laihtua|to lose weight
valita|to choose
lopettaa|to finish
kasvaa, varttua|to grow up
totella|to obey
pohtia (jotakin)|to reflect (on)
onnistua (jossakin)|to succeed
uskoa|to believe
ottaa|to take
oppia|to learn
opettaa|(to teach someone)
ymmärtää|to understand
yllättää|to surprise
