kaupunki|the city
aukio|public square
tie, katu|street
puistokatu, bulevardi|boulevard
puistokatu|avenue
naapurusto|neighborhood
kaupunginosa, arrondissementti (Ranskan kaupungeissa)|administrative district in a large city (e.g. Paris)
keskusta, ydinkeskusta|downtown
lähiö, esikaupunkialue|suburbs
rakennus|building
toimisto, virasto|office
kerrostalo|apartment building
omakotitalo|house
hotelli|hotel
putiikki|boutique
(musiikki-, video- jne.)kauppa|store (music, video, etc.)
kauppakeskus|shopping center, mall
ruokakauppa, supermarketti|supermarket
kahvila|café
ravintola|restaurant
museo|museum
elokuvateatteri|movie theater
yökerho, disko|a nightclub, dance club
teatteri|theater
stadion|stadium
pysäköintialue, parkkipaikka|parking lot
puisto|park
puisto, puutarha|park, large garden
joki|river
silta|bridge
pankki|bank
posti, postitoimisto|post office
postilaatikko|mailbox
puhelinkoppi|phone booth
pesula|launderette
kaupungintalo|city hall, mayor's office
kauppakamari|chamber of commerce
sairaala|hospital
lentokenttä|airport
rautatieasema|train station
alakoulu, ala-aste (7-12-vuotiaille)|school
yläkoulu, yläaste (13-15-vuotiaille)|junior high, middle school
lukio (16-18-vuotiaille)|high school
yliopisto|university
kirjasto|library
kirkko|church
suurkirkko, katedraali|cathedral
moskeija|mosque
synagoga|synagogue
temppeli|temple
pienyritykset|small businesses
lähikauppa|grocery store
lihakauppa|butcher shop
herkkupuoti, delikauppa|pork butchers shop, deli
lounasmyymälä|deli, catering shop
leipomo|bakery
konditoria|pastry shop
tupakkakauppa|tobacco shop
kirjakauppa|bookstore
paperitarvikekauppa|paper/stationery store
apteekki|pharmacy
suunnistaa, paikallistaa, selvittää sijainti|getting your bearings
Missä ... on?|Where is... ?
(Missä postitoimisto on?)|(Where is the post office?)
vieressä|beside, next to
lyhyen matkan päässä (jostakin)|just a step from
oikealla|on the right
vasemmalla|on the left
(jonkin) päässä/perällä|at the far end of
risteyksessä|at the intersection of
keskustassa|in the center
kulmalla|at the corner of
(jonkun) kotona|at someones house
takana|behind
edessä|in front of
vastapäätä|facing, opposite
kaupungissa|in the city
kaukana|far
lähellä|near, close
alla|under
päällä|on
oikealla/vasemmalla puolellasi|on your right/left
suoraan edessä|straight ahead
lähellä|nearby
järjestysluvut|ordinal numbers
ensimmäinen|first
toinen|second
kolmas|third
neljäs|fourth
viides|fifth
kuudes|sixth
seitsemäs|seventh
kahdeksas|eighth
yhdeksäs|ninth
kymmenes|tenth
yhdestoista|eleventh
kahdestoista|twelfth
kolmastoista|thirteenth
neljästoista|fourteenth
viidestoista|fifteenth
kuudestoista|sixteenth
seitsemästoista|seventeenth
kahdeksastoista|eighteenth
yhdeksästoista|nineteenth
kahdeskymmenes|twentieth
liike- ja tilanmuutosverbit|verbs which use être in the compound past
mennä|to go
mennä ulos|to go out
lähteä|to leave
mennä kotiin, palata|to go home, to go back
palata|to return
saapua|to arrive
mennä sisään|to enter
jäädä|to stay
kiivetä, mennä yläkertaan|to go up, to go upstairs, to climb
laskeutua, mennä alakertaan|to go down, to go downstairs
kaatua|to fall
ohittaa|to pass, to go by (intransitive)
syntyä|to be born
kuolla|to die
muita verbejä|other verbs
liikkua (kaupungilla)|to get around (town)
kulkea metrolla, taksilla jne.|to take the metro, a taxi, etc.
kulkea jalan|to go on foot
kävellä|to walk
kääntyä|to turn
ylittää, kulkea läpi|to cross
jatkaa|to continue
pyytää (jotakin)|to ask (for)
olla (jossakin)|to be found, to be located
odottaa (jotakin)|to wait for
kuulla|to hear
menettää|to lose
palauttaa, antaa takaisin|to hand in, give back
kyläillä, käydä (jollakulla) kylässä|to visit someone
vastata|to answer
myydä|to sell
epäsäännölliset imperfektimuodot|irregular past participles
olla, omistaa: minulla oli ...|to have: I had ...
juoda: minä join ...|to drink: I drank ...
olla: minä olin ...|to be: I was ...
uskoa: minä uskoin ...|to believe: I believed ...
tehdä: minä tein ...|to do: I did ...
nähdä: minä näin ...|to see: I saw ...
ottaa: minä otin ...|to take: I took ...
kuolla: hän kuoli ...|to die: he/she died ...
laittaa: minä laitoin ...|to put: I put ...
syntyä: hän syntyi ...|to be born: he/she was born ...
