juhlapäivät|holidays
yleiset vapaapäivät|national holidays (indicated below by *). The French often take an extra day off from work when a holiday falls on Tuesday or Thursday. If the holiday falls on Tuesday, they take Monday off, and if the holiday falls on Thursday, they take Friday off ...
uudenvuodenpäivä *|New Year's Day
kynttilänpäivä, 2. helmikuuta|Candlemas
ystävänpäivä, 14. helmikuuta|Valentine's Day
mardi gras, laskiaistiistai|Mardi Gras, Carnival
juutalainen pääsiäinen|Passover
pääsiäinen *|Easter
aprillipäivä|April Fool's Day
vappu *|Labor Day
voitonpäivä, 8. toukokuuta|VE Day (Victory in Europe)
helatorstai *|Ascension Day
äitienpäivä|Mother's Day
isänpäivä|Father's Day
helluntai|Pentecost
Ranskan kansallispäivä, 14. heinäkuuta|Bastille Day, French National Day
Neitsyt Marian taivaaseenottamisen päivä, 15. elokuuta|the feast of the Assumption
halloween|Halloween
jom kippur|Yom Kippur
rosh hashana, juutalainen uusivuosi|Rosh Hashana
pyhäinpäivä|All Saints' Day
Armistice-päivä, 11. marraskuuta|Armistice Day
ramadan|Ramadan
hanukka|Hannukah
joulupäivä, 25. joulukuuta *|Christmas
uudenvuodenaatto, 31. joulukuuta|New Year's Eve
toivotuksia|expressions
Hyvää uutta vuotta!|Happy New Year!
Hyvää pyhimyksen päivää!|Happy Saint's Day!
Hyvää syntymäpäivää!|Happy Birthday!
Parhaimmat onnentoivotukset!|Best wishes!
Aprillia!|April Fool!
Iloista pääsiäistä!|Happy Easter!
Hyvää joulua!|Merry Christmas!
rituaalit ja tavat|rituals and customs
joulujuhla, uudenvuodenjuhla|Christmas Eve or New Year's Eve party
ilotulitukset|fireworks
(sotilas)paraati|(military) parade
pyhimyksenpäivä, juhla, juhlinta|saint's day, celebration, party
syntymäpäivä, vuosipäivä|birthday, anniversary
kakku|cake
kynttilä|candle
lahja|gift
hääjuhla|wedding
vuosipäivä|wedding anniversary
seremonia|ceremony
samppanja|champagne
kielo|lily of the valley
vitsit|jokes
naamiaisasut|costumes
ohukaiset, letut|crepes
piknik|picnic
jouluhalko, kääretorttu|Yule log (also a cake in the shape of a Yule log)
onnittelukortti|greeting card
mistelinoksa|mistletoe
Joulupukki|Santa Claus
joulukuusi|Christmas tree
seimiasetelma|nativity
messu|mass
sapatti|sabbath
verbit|verbs
juhlistaa|to celebrate
juhlia, bilettää (informal)|to party
viettää juhlia|to celebrate
juhlia jouluaattoa tai uudenvuodenaattoa|to celebrate Christmas Eve or New Year's Eve
kutsua|to invite
antaa|to give
lahjoittaa|to give
saada|to receive
avata|to open
puhaltaa|to blow out (candles)
vitsailla|to joke
jekuttaa, pilailla, huijata, tehdä aprillipila|to play a joke (on someone)
kirjaimellisesti 'rakentaa silta', pitää pitkä viikonloppu|literally 'to make a bridge'
