kotona|at home
talo, omakotitalo|house
asunto|apartment
yliopiston asuntola|university dorm
huone|a room (general term)
ikkuna|window
huonekalu / huonekalut, kalusteet|a piece of furniture / furniture
alakerta, ensimmäinen kerros|ground floor, first floor
portaikko|staircase, stairs
parveke|balcony
terassi|terrace
puutarha, piha|garden, yard
huoneet|rooms
sisäänkäynti|entranceway
eteinen|foyer
olohuone|living room
ruokailuhuone, ruokasali|dining room
keittiö|kitchen
käytävä, halli|hallway
makuuhuone|bedroom
kylpyhuone|bathroom
WC, vessa|toilet
kodinhoitohuone|laundry room
ullakko|attic
kellari, viinikellari|cellar, wine cellar
autotalli|garage
Makuuhuoneessa on...|In the bedroom there is/are...
sänky|bed
yöpöytä|nightstand
vaatekaappi|armoire
lipasto, laatikosto|chest of drawers
työpöytä|desk
kirjahylly|bookcase
lamppu, valaisin|lamp
kaappi, komero|closet
kokolattiamatto|carpet (wall to wall)
DVD-/MP3-soitin|DVD / MP3 player
tietokone|computer
puhelin|telephone
Kylpyhuoneessa on ...|in the bathroom there is/are ...
kylpyamme|bathtub
suihku|shower
lavuaari, pesuallas|sink
peili|mirror
Olohuoneessa on ...|in the living room there is/are ...
sohva|couch
nojatuoli|armchair
sohvapöytä, kahvipöytä|coffee table
televisio|television
maalaus / maalaukset|painting / paintings
matto|area rug or carpet
Ruokailuhuoneessa on ...|in the dining room there is/are ...
pöytä|table
tuoli|chair
astiakaappi, sivupöytä|hutch, buffet
Keittiössä on ...|in the kitchen there is/are ...
jääkaappi|refrigerator / fridge
pakastin|freezer
hella|stove
uuni|oven
mikroaaltouuni|microwave
astianpesukone|dishwasher
pesuallas|sink
astiakaappi|cabinet
roskakori|trash can
Kodinhoitohuoneessa on ...|in the laundry room there is/are ...
pyykinpesukone, pyykkikone|washing machine
kuivausrumpu|dryer
kotityöt|household chores
mennä ostoksille|to go shopping
tehdä ruokaostokset|to do the grocery shopping
käydä asioilla|to do errands
tehdä kotitöitä|to do housework
tehdä ruokaa|to cook
pestä astiat|to do the dishes
järjestellä, siistiä|to straighten up
pedata sänky|to make the bed
imuroida|to pass the vacuum cleaner
pestä pyykkiä|to do laundry
silittää|to iron
remontoida|to make home repairs or improvements
adjektiivit|adjectives
vanha, vanhanaikainen|old
moderni|modern
tumma, pimeä, hämärä|dark
kirkas, valoisa|bright, full of light
sotkuinen|messy
siisti|straightened up
puhdas|clean
likainen|dirty
käytännöllinen|practical
viihtyisä|comfortable
verbit|verbs
muuttaa|to move (change residences)
refleksiiviverbit|reflexive verbs
viihtyä|to have fun
tylsistyä|to be bored
kiirehtiä|to hurry
huolestua|to worry
suuttua|to get angry
resiprookkinen (vastavuoroinen) verbi|reciprocal verbs
tapella, kinastella (jonkun kanssa)|to argue (with one another)
tulla toimeen (jonkun kanssa)|to get along (with one another)
keskustella|to talk to (one another)
