televisio, elokuvat|television, cinema
tv|TV
kaukosäädin|remote control
kanava|channel
ohjelmisto, ohjelma-aikataulu|television schedule
sarja, saippuaooppera|series / soap opera
sarja|series
ohjelma|show
animaatio|cartoon
dokumentti|documentary
viihdeohjelma|variety show
visailu, kilpailuohjelma|game show
tosi-TV|reality television
uutisohjelma|news show
uutiset|news
ajankohtaisohjelma|current events
säätiedotus|weather report
toimittaja / reportteri / journalisti|reporter / journalist
haastattelu|interview
mainos|commercial
konsertti|concert
elokuva|movie
romanttinen elokuva|romantic movie
scifi-elokuva, tieteiselokuva|science-fiction movie
kauhuelokuva|horror movie
toimintaelokuva / seikkailuelokuva|action film / adventure film
rikoselokuva, dekkarielokuva|detective/police movie
draama|drama
komedia|comedy (movie, play)
musikaali|musical
musikaalikomedia|musical comedy
lännenelokuva, länkkäri (informal)|western
alkuperäinen versio / ranskankielinen versio|original version / French version
tekstitetty / ei tekstitystä|with / without subtitles
näyttelijä (m, f) / näyttelijätär (f)|actor / actress
julkisuuden henkilö, julkkis (informal)|celebrity
tähti|star (refers to men or women)
julkisuuden henkilö|celebrity
roisto, konna, pahis (informal)|the bad guy
lehdistö|the press
lehtikioski|news stand
sanomalehti|newspaper (national, regional)
sarjakuva|comic strip
lehti-ilmoitus|classified ad
aikakauslehti|magazine
kirja|book
romaani|novel
radio|the radio
radioasema|radio station
laulu|song
laulaja (m, f) / laulajatar (f)|singer
yhtye, bändi|a band
internet|the internet
tietokone|computer
kannettava tietokone, läppäri (informal)|laptop
web|the web
kotisivu, nettisivu|website
kotisivu, etusivu|homepage
keskustelufoorumi, uutisryhmä|bulletin board, newsgroup
hakukone|search engine
salasana|password
sähköpostiosoite|e-mail
online, internetissä, verkossa, netissä (informal)|online
linkki|link
puhelin|the telephone
matkapuhelin, kännykkä|cell phone
ääniviesti|voicemail
tekstiviesti|text message
puhelimessa|on the phone
Haloo...|Hello...
Missä olet? / Mitä teet?|Where are you at / what are you doing?
Voinko puhua ... kanssa? / Voiko ... tulla puhelimeen?|May I speak to...
Haluaisin lisätietoja.|I would like some information.
Odottakaa (formal) / Odota hetki.|Please hold. / One moment please.
Älä sulje puhelinta.|Stay on the line.
Yhdistän sinut hänelle.|I'm putting you through to him / her. / I'm connecting you to him / her.
Mikä puhelinnumerosi on?|What is your phone number?
Haluatko jättää viestin?|Do you want to leave a message?
Voisitko soittaa uudelleen kello 15?|Could you call back at 3 p.m.?
Kuka on puhelimessa?|Who's on the phone?
adjektiivit|adjectives
kuuluisa|famous
hauska, huumorintajuinen|funny
dubattu, ääninäytelty|dubbed
pelottava|frightening
tylsä|boring
ulkomaalainen|foreign
ilmainen|free
optimistinen / toiveikas|optimistic / hopeful
pessimistinen|pessimistic
realistinen|realistic
satiirinen|satirical
traaginen|tragic
surullinen|sad
väkivaltainen|violent
verbit|verbs
surffata (internetissä), selata (internetiä)|to surf (the web)
napsauttaa, klikata|to click
ladata|to download
kuvailla|to describe
sanoa|to say
kirjoittaa|to write
kestää|to last
lukea|to read
näyttää|to show
viettää/kuluttaa aikaa|to spend (time)
