à la maison|at home
une maison|house
un appartement|apartment
une résidence universitaire|university dorm
une pièce|a room (general term)
une fenêtre|window
un meuble / des meubles|a piece of furniture / furniture
le rez-de-chaussée|ground floor, first floor
un escalier|staircase, stairs
un balcon|balcony
une terrasse|terrace
un jardin|garden, yard
les pièces|rooms
une entrée|entranceway
un hall d'entrée|foyer
un séjour / un living / un salon / une salle de séjour|living room
une salle à manger|dining room
une cuisine|kitchen
un couloir|hallway
une chambre|bedroom
une salle de bains|bathroom
des toilettes (f pl) / des W.C. (m pl)|toilet
une buanderie|laundry room
un grenier|attic
une cave|cellar, wine cellar
un garage|garage
dans la chambre il y a...|In the bedroom...
un lit|bed
une table de nuit|nightstand
une armoire|armoire
une commode|chest of drawers
un bureau|desk
une étagère|bookcase
une lampe|lamp
un placard|closet
de la moquette|carpet (wall to wall)
un lecteur DVD / MP3|DVD / MP3 player
un ordinateur|computer
un téléphone|telephone
dans la salle de bains il y a ...|in the bathroom
une baignoire|bathtub
une douche|shower
un lavabo|sink
un miroir|mirror
dans la salle de séjour il y a ...|in the living room
un canapé / un sofa|couch
un fauteuil|armchair
une table basse|coffee table
une télévision|television
un tableau / des tableaux|painting / paintings
un tapis|area rug or carpet
dans la salle à manger il y a ...|in the dining room
une table|table
une chaise|chair
un buffet|hutch, buffet
dans la cuisine il y a ...|in the kitchen
un réfrigérateur / un frigo|refrigerator / fridge
un congélateur|freezer
une cuisinière|stove
un four|oven
un four à micro-ondes|microwave
un lave-vaisselle|dishwasher
un évier|sink
un placard|cabinet
une poubelle|trash can
dans la buanderie il y a ...|in the laundry room
un lave-linge|washing machine
un sèche-linge|dryer
les tâches domestiques|household chores
faire des achats|to go shopping
faire le marché|to do the grocery shopping
faire des courses (f pl)|to do errands
faire le ménage|to do housework
faire la cuisine|to cook
faire la vaisselle|to do the dishes
ranger|to straighten up
faire le lit|to make the bed
passer l'aspirateur (m)|to pass the vacuum cleaner
faire la lessive|to do laundry
repasser|to iron
bricoler|to make home repairs or improvements
adjectifs|adjectives
ancien(ne)|old
moderne|modern
sombre|dark
clair(e)|bright, full of light
en désordre|messy
en ordre|straightened up
propre|clean
sale|dirty
pratique|practical
confortable|comfortable
verbes|verbs
déménager|to move (change residences)
verbes réfléchis|reflexive verbs
s'amuser|to have fun
s'ennuyer|to be bored
se dépêcher|to hurry
s'inquiéter|to worry
se fâcher|to get angry
verbes réciproques|reciprocal verbs
se disputer|to argue (with one another)
s'entendre|to get along (with one another)
se parler|to talk to (one another)
