a tavola|à table|at the table
|un verre|glass
una tassa|une tasse|cup
|un bol|bowl
|une assiette|plate
uno coltello|un couteau|knife
|une fourchette|fork
|une cuillère|spoon
|la cuisine|kitchen, cooking
|un repas|meal
|le petit déjeuner|breakfast
|le déjeuner|lunch
|le goûter|snack
|le dîner|dinner, supper
al mercato, al supermercato|au marché, au supermarché|at the market, at the supermarket
|des fruits (m)|fruits
|des bananes (f)|bananas
|des cerises (f)|cherries
|des citrons (m)|lemons
|des fraises (f)|strawberries
|des framboises (f)|raspberries
|des oranges (f)|oranges
|des pamplemousses (m)|grapefruit
|des pêches (f)|peaches
|des poires (f)|pears
|des pommes (f)|apples
|du raisin|grapes
|des légumes (m)|vegetables
|de l'ail (m)|garlic
|des asperges (f)|asparagus
|des aubergines (f)|eggplants
|des carottes (f)|carrots
|des champignons (m)|mushrooms
|des choux (m)|cabbage
|des concombres (m)|cucumbers
|des courgettes (f)|zucchini
|des épinards (m)|spinach
|des haricots verts (m)|green beans
|une/de la laitue|lettuce
|des oignons (m)|onions
|des petits pois (m)|peas
|des poireaux (m)|leeks
|des poivrons verts (m)|green peppers
|des pommes de terre (f)|potatoes
|de la salade|salad, lettuce
|des tomates (f)|tomatoes
|à la boucherie|at the butcher shop
|Chez le boucher, on achète ...|At the butcher's, you buy ...
|de la viande|meat
|du boeuf|beef
|du porc|pork
|du veau|veal
|du canard|duck
|de la dinde|turkey
|du poulet|chicken
|à la charcuterie|at the pork butcher shop, delicatessen
|Chez le charcutier, on achète ...|At the pork butcher's, you buy ...
|du jambon|ham
|du pâté|pâté
|des saucisses (f)|sausages
|du saucisson|hard sausage
|à la poissonnerie|at the seafood shop
|Chez le poissonnier, on achète ...|At the fish merchant's, you buy ...
di pesche|du poisson|fish
di salmone|du saumon|salmon
|de la sole|sole
|du thon|tuna
|à l'épicerie|at the grocery store
|Chez l'épicier, on trouve ...|At the grocer's, you find ...
|des céréales (m)|cereal
|un oeuf, des oeufs|eggs
|des noix (f)|walnuts
|des produits laitiers|dairy products
|du beurre|butter
di latte|du lait|milk
di formaggio|du fromage|cheese
|du yaourt|yogurt
|de la glace|ice cream
|des épices (f)|spices
di sale|du sel|salt
|du poivre|pepper
|de l'huile (f)|oil
|du vinaigre|vinegar
|de la mayonnaise|mayonnaise
|de la moutarde|mustard
|à la boulangerie-pâtisserie|at the bakery-pastry shop
|Chez le boulanger, on trouve ...|At the baker's, you find ...
|du pain|bread
|une baguette|baguette
|une brioche|brioche
