le feste|les fêtes|holidays
|les jours fériés|national holidays (indicated below by *). The French often take an extra day off from work when a holiday falls on Tuesday or Thursday. If the holiday falls on Tuesday, they take Monday off, and if the holiday falls on Thursday, they take Friday off ...
|le Jour de l'An, le premier janvier *|New Year's Day
|la Chandeleur, le 2 février|Candlemas
|la Saint-Valentin, le 14 février|Valentine's Day
|le Carnaval (Mardi Gras)|Mardi Gras, Carnival
|La pâque juive / Pessach|Passover
Pasqua|Pâques *|Easter
|le premier avril|April Fool's Day
|la fête du Travail, le 1er mai *|Labor Day
|le 8 mai, la fête de la Victoire *|VE Day (Victory in Europe)
|l'Ascension (f) *|Ascension Day
|la fête des mères|Mother's Day
|la fête des pères|Father's Day
|la Pentecôte|Pentecost
|la fête nationale, le 14 juillet *|Bastille Day, French National Day
|le 15 août, l'Assomption (f) *|the feast of the Assumption
|Halloween|Halloween
|Yom Kippour|Yom Kippur
|Rosh Hashana|Rosh Hashana
|la Toussaint, le 1er novembre *|All Saints' Day
|l'Armistice (m), le 11 novembre *|Armistice Day
|le Ramadan|Ramadan
|Hanouka|Hannukah
|Noël (m), le 25 décembre *|Christmas
|la Saint-Sylvestre, le 31 décembre|New Year's Eve
|expressions|expressions
Felice Anno Nuovo!|Bonne Année!|Happy New Year!
|Bonne fête!|Happy Saint's Day!
|Bon (Joyeux) anniversaire!|Happy Birthday!
|Meilleurs Voeux!|Best wishes!
|Poisson d'avril!|April Fool!
Buona Pasqua!|Joyeuses Pâques!|Happy Easter!
|Joyeux Noël!|Merry Christmas!
|rites et coutumes|rituals and customs
|le réveillon|Christmas Eve or New Year's Eve party
|des feux d'artifice (m)|fireworks
|un défilé (militaire)|(military) parade
una festa|une fête|saint's day, celebration, party
|un anniversaire|birthday, anniversary
|un gâteau|cake
|une bougie|candle
|un cadeau|gift
|les noces (f pl)|wedding
|un anniversaire de mariage|wedding anniversary
|une cérémonie|ceremony
|le champagne|champagne
|le muguet|lily of the valley
|des blagues (f)|jokes
|des costumes (m)|costumes
|des crêpes (f)|crepes
|un pique-nique|picnic
|la bûche de Noël|Yule log (also a cake in the shape of a Yule log)
|une carte de voeux|greeting card
|le gui|mistletoe
|le Père Noël|Santa Claus
|le sapin de Noël|Christmas tree
|la crèche|nativity
|la messe|mass
|le sabbat / le shabbat|sabbath
verbi|verbes|verbs
|célébrer|to celebrate
fare la festa|faire la fête|to party
festeggiare|fêter|to celebrate
|réveillonner|to celebrate Christmas Eve or New Year's Eve
invitare|inviter|to invite
offrire|offrir|to give
dare|donner|to give
ricevere|recevoir|to receive
aprire|ouvrir|to open
|souffler|to blow out (candles)
scherzare|plaisanter|to joke
|faire un poisson d'avril|to play a joke (on someone)
|faire le pont|literally 'to make a bridge'
