Introduction (UFLF ko-en)|"
<h2>Introduction</h2>
<p>This deck has taken words outlined in the vocabulary section of each chapter of the <a href=""http://www.laits.utexas.edu/fi/"">Francais Interactif</a> language program and put them into a form which can be easily learnt/revised using <a href=""https://apps.ankiweb.net/"">Anki</a> a cross platform app specifically designed for long term knowledge retention.</p>
<h2>Notes</h2>
<p>Please note the modifications which have been made &amp; where you can find updates.</p>
<ol align=""left"">
<li>All the vocabulary from each chapter has been arranged in a way that can be easily learnt from Anki, separated into decks for each chapter</li>
<li>Any updates, corrections or translations to the deck will be available at <a href=""https://github.com/darigovresearch/Universal-Foreign-Language-Flashcards""></a><a href=""https://github.com/darigovresearch/Universal-Foreign-Language-Flashcards"">https://github.com/darigovresearch/Universal-Foreign-Language-Flashcards</a> so do return periodically to check if you have the latest version.</li>
<li>Modifications from the original work includes typo correction, card merging &amp; consistency consolidation (see the commit history for [fr-en] for the specific changes)</li>
</ol>
<p>Feel free to share the deck and give the repository a star so more people are likely to see this work and can get the most out of it.</p>
<h2>License</h2>
<p>Unless otherwise specified, everything in this decks is covered by the following licence:</p>
<p><a href=""https://creativecommons.org/licenses/by/4.0/""><img src=""https://camo.githubusercontent.com/4140463a817248128974112ce9b0d735f9c256ec/68747470733a2f2f6c6963656e7365627574746f6e732e6e65742f6c2f62792f342e302f38387833312e706e67"" alt=""Creative Commons License"" data-canonical-src=""https://licensebuttons.net/l/by/4.0/88x31.png"" style=""max-width:100%;""></a></p>
<p>This work was based on the work <em><strong>Francais Interactif</strong></em> by the <a href=""http://www.laits.utexas.edu/fi/"">COERLL</a>, licensed under a <a href=""https://creativecommons.org/licenses/by/4.0/"">Creative Commons Attribution 4.0 International Licence</a>.</p>
<p>To see this work in full go to <a href=""http://www.laits.utexas.edu/fi/"">http://www.laits.utexas.edu/fi/</a></p>
"
내 소개를 할게|je me présente|let me introduce myself
내 이름은 ...|Je m'appelle ...|My name is ...
나는 ... 출신이다.|Je suis de ...|I am from ...
나는 ... (프랑스어, 수학, 기타 등등 )과의 (남)학생이다.|Je suis étudiant en ... (français, maths, etc.)|I am a student (male) in ... (French, math, etc.)
나는 ... (프랑스어, 수학, 기타 등등)과의 (여)학생이다.|Je suis étudiante en...(français, maths, etc.)|I am a student (female) in ... (French, math, etc.)
그/그녀의 이름은 ...|Il/Elle s'appelle ...|His/Her name is ...
그/그녀의 출신은 ...|Il/Elle est de ...|He/She is from ...
그는 ... (프랑스어, 수학, 기타 등등)과의 학생이다.|Il est étudiant en ... (français, maths, etc.)|He is a student (male) in ... (French, math, etc.)
그녀는 ... (프랑스어, 수학, 기타 등등)과의 학생이다.|Elle est étudiante en ... (français, maths, etc.)|She is a student (female) in ... (French, math, etc.)
과목|les matières|subjects
무역|le commerce|business
회계|la comptabilité|accounting
언어들|les langues (f)|languages
영어|l'anglais (m)|English
프랑스어|le français|French
스페인어|l'espagnol (m)|Spanish
문학|la littérature|literature
역사|l'histoire (f)|history
지리학|la géographie|geography
정치학|les sciences politiques|political science
수학|les mathématiques/les maths (f)|math
과학|les sciences (f)|sciences
생물학|la biologie|biology
화학|la chimie|chemistry
컴퓨터과학|l'informatique (f)|computer science
음악|la musique|music
철학|la philosophie|philosophy
심리학|la psychologie|psychology
알파벳|l'alphabet|the alphabet
동물|les animaux|animals
바퀴벌레|le cafard|cockroach
고양이 / 암컷 고양이 / 새끼 고양이|le chat / la chatte / la minette|cat / female cat / kitty
다람쥐|l'écureuil|squirrel
달팽이|l'escargot|snail
개미|la fourmi|ant
아르마딜로|le tatou|armadillo
