moda|fashion
modni šou|fashion show
brend|brand
šešir|hat
kapa|cap
odjeća|clothes
trenerka|tracksuit
donji veš|underwear
grudnjak|bra
muške gaće|briefs
kratke pantalone / ženske gaćice|panties
muške gaće|boxers
muška košulja|man's shirt
bluza|blouse
polo majica|polo shirt
T majica|T-shirt
džemper|sweater
pantalone|(a pair of) pants
džins|jeans
šorc|(shorter) shorts
bermude|(longer) shorts
kajiš|belt
čarape|socks
cipele|shoes
duboke tene|basketball shoes
čizme|boots
sandale|sandals
tene|tennis shoes
japanke|flip-flops
cipele sa visokom petom|high-heels
haljina|dress
suknja|skirt
žensko odijelo|woman's suit
muško odijelo|man's suit
kravata|tie
naočale|sunglasses
kupaći kostim|swimsuit
kožna vindjakna|short jacket, leather jacket
jakna|jacket
kaput|coat
vindjakna sa kapuljačom|parka
mantil za kišu|raincoat
šal|scarf
rukavice|gloves
slobodno vrijema / hobi|pastimes
trčanje / trčati|running / to go running
džoging / džogiranje|jogging / to go jogging
role, rošule / voziti role, voziti rošule|roller blading / to go roller blading
biciklizam / voziti biciklo|cycling / to go cycling
alpinizam / ići na alpinističko planinarenje|rock-climbing / to go rock-climbing
dizanje tegova / vježbati sa tegovima|weight training / to train with weights
plivanje / ići na plivanje|swimming / to go swimming
kanuing / ići na kanuing|canoeing / to go canoeing
kajak / ići na kajak|kayaking / to go kayaking
slikarstvo / slikati|painting / to paint (art)
šah / igrati šah|chess / to play chess
joga / ići na jogu|yoga
surfing / ići na surfing|surfing
jahanje / ići na jahanje|horseback riding
fitnes i zdravlje|fitness and health
alergija|allergy
gripa|the flu
migrena|migraine headache
prehlada|a cold
lijekovi|medicine
vitamini|vitamins
tablete za spavanje|sleeping pill
tijelo|the body
grlo|throat
ruka|arm
lakat|elbow
ručni zglob|wrist
šaka / ruka|hand
prst|finger
prsa|chest
stomak|stomach
ledja|back
poledjina / iza / pozadi|rear, behind
butine|buttocks
noga|leg
koljena|knee / knees
nožni zglob / skočni zglob|ankle
stopalo|foot
palčevi na nogama|toes
pridjevi|adjectives
moderno / u modi|in fashion
izašlo iz mode|out of style
ležerno, opušteno (odjeća i obuća)|casual
elegantan|dressy
disciplinovan|disciplined
atletski|athletic
stres / napet / pod pritiskom|stressed
bolestan|sick
glagoli|verbs
obući se|to get dressed
staviti (na)|to put (on)
nositi|to wear
dobro / loše stajati / odgovarati|to fit well/poorly
udebljati se|to gain weight
biti na dijeti|to be on a diet
vježbati|to exercise
smršati|to lose weight
biti u formi|to be in shape
razboliti se|to get sick
kašljati|to cough
boliti ... / boljeti ..., imati bol u ...|to hurt (body part)
(imati glavobalju, imati bol u ledjima, imati bol u nozi, itd)|(to have a headache, a backache, sore feet, etc)
odmarati se|to rest
relaksirati se|to relax
pušiti|to smoke
biti dobrog zdravlja|to be in good health
upitni oblici|interrogative expressions
Šta se dešava?|What is going on?
Šta te interesuje?|What interests you?
Šta ti smeta?|What bothers you?
Šta te plaši?|What scares you?
Šta ti se svidja?|What pleases you?
Šta te zabavlja?|What amuses you?
bezlični izrazi|impersonal questions
treba (da)|It is necessary (to)
Bolje je (da)|It is advisable (to), It is better (to)
Važno je (da)|It is important (to)
Neophodno je (da)|It is necessary (to)
Glavno / osnovno / suštinsko je (da)|It is essential (to)
Bitno je (da)|It is essential (to)
Zabavno je (da) ...|It is fun (to) ...
Teško je (da) ...|It is difficult (to) ...
Lako je (da) ...|It is easy (to) ...
Zamorno / naporno / dosadno je (da) ...|It is tiring/annoying (to) ...
