finansije|finances
banka|bank
štedionica|savings and loan association
račun (u banci)|(bank) account
bankomat|ATM (automatic teller machine)
evro|euro (currency)
naslijedstovo|inheritance
troškovi|expenses
računi / fakture|bills
smještaj|housing
zakup / stanarina / renta / kirija|rent
ishrana / hrana / snabdjevanje|food
zabava / razonoda|entertainment
račun za telefon|telephone bill
troškovi školovanja|tuition, education expenses
studentski kredit|student loan
osiguranje|insurance
gas|gas
komunalije / režijski troškovi|utilities
porezi|taxes
dugovi|debts
berza|the stock market
akcije / dionice|stocks
novčanik|portfolio (also, wallet)
pridjevi|adjectives
velikodušan / darežljiv / plemenit|generous
rasipati novac|spendthrift
škrtica, cicija|miserly, stingy
štedljiv|economical, frugal
jeftin|inexpensive
biti na rasprodaji|to be on sale
povoljna / dobra cijena|a good price
skupo|expensive
biti bez novca|to be broke
imati dovoljno novca za ugodan život|to be well off
zadovoljan|satisfied, fulfilled
glagoli - finansije|verbs - finances
koštati|to cost
trošiti|to spend
otplatiti|to reimburse
posuditi|borrow
imati sredstva / novca za|to have the means to
iznajmiti|to rent
napraviti proračun budžeta|to establish a budget
preko proračuna budžeta|to go beyond one's budget
imati dugove / biti u dugu|to have debts
rasipati|to waste
štediti novac|to save money
ponuditi|to give, to offer
ljubavni život|love life
par|couple
ljubav na prvi pogled|love at first sight
strasna ljubav|passionate love
ljubav nečijeg života|the love of one's life
sastanak|date (also an appointment)
odnosi|relationship
zaruke|engagement
vjerenica / vjerenik|fiancé / fiancée
vjenčanje|marriage, wedding
podudarnost karaktera|compatibility / matching
fizički izgled|physical appearance
sreća|happiness
komuniciranje|interaction / communication
smisao za humor|sense of humor
poštovanje|respect
iskrenost|honesty
romantičnost|romanticism
glagoli - ljubavni život|verbs - love life
udvarati se / flertovati|to try to pick up, to hit on someone, to flirt
biti prijatelji|to be friends
živjeti zajedno|to live together
poljubiti jedno drugo|to kiss each other
voljeti jedno drugo|to love each other
ugovor o zajedničkom životu|to enter a PACS contract
zaručiti se|to get engaged
vjenčati se|to get married
raskinuti / prekinuti|to break up
razvesti se|to get divorced
varati|to cheat on
horoskop|horoscope
Koji si znak u horoskopu?|What's your sign?
znak|sign
Jarac (u horoskopu)|Capricorn
Vodolija|Aquarius
Riba|Pisces
Ovan|Aries
Bik|Taurus
Blizanci|Gemini
Rak|Cancer
Lav|Leo
Djevica|Virgo
Vaga|Libra
Škorpija|Scorpio
Strelac|Sagittarius
