lična karta|identification form
prezime|last name
ime|first (and middle) name(s)
godište|age
nacionalnost|nationality
mjesto boravka|current address
profesija|profession
hobi|pastimes
lični podatci|personal questions
Kako se zoveš? Kako se zovete?|What is your name?
Koliko imaš godina?|How old are you?
Koje si nacionalnosti? Koje ste nacionalnosti?|What is your nationality?
Odakle si? Odakle ste?|Where are you from?
Gdje živiš? Gdje živite?|Where do you live?
Šta radiš? Šta radite? Čime se baviš? Čime se bavite?|What do you do for a living?
Koji je tvoj omiljeni hobi? Koji je vaš omiljeni hobi?|What are your favorite pastimes?
porodica|the family
čovjek|man
žena, supruga|woman, wife
muž, suprug|husband
vjerenica / vjerenik|fiancé / fiancée
roditelji, rodjaci|parents, relatives
otac|father
majka|mother
dijete|child
sin|son
kćerka|daughter
jedinac|only child (male)
jedinica|only child (female)
brat|brother
sestra|sister
dede i babe|grandparents
deda|grandfather
baba|grandmother
unuk, unuka|grandchild
stric, ujak|uncle
strina, ujna, tetka|aunt
nećak|nephew
nećakinja|niece
prijatelji|friends
prijatelj / prijateljica|friend
prijatelj, drug, prijateljica, drugarica|friend
momak / djevojka|friend; boyfriend / girlfriend
upitne riječice|interrogative words
gdje?|where?
kada?|when?
ko?|who?
kako?|how?
koji?|which?
zašto?|why?
zato|because
vrijeme|time
vrijeme|the time
Koliko je sati?|What time is it?
Osam je sati. Osam sati.|It's 8 o'clock.
Osam i deset.|It's ten after 8.
Osam i petnaest.|It's quarter after 8.
Osam i dvadeset i pet.|It's twenty-five after 8.
Osam i trideset.|It's eight-thirty.
Dvadeset do devet.|It's twenty to nine.
Petnaest do devet.|It's quarter to nine.
Podne je.|It's noon.
Dvanaest i trideset.|It's twelve-thirty.
Ponoć je.|It's midnight.
Tri sata...|It's three o'clock...
ujutro|in the morning (3 a.m.)
poslije podne|in the afternoon (3 p.m.)
Sedam sati...|It's seven o'clock...
uveče|in the evening (7 p.m.)
zvanično vrijeme|official time
Deset sati.|It's 10 a.m.
Dvanaest i pet. Dvanaest nula pet.|It's 12:05 p.m.
Trinaest i petnaest.|It's 1:15 p.m.
Petnaest i trideset pet.|It's 3:35 p.m.
Osamnaest i četrdeset pet.|It's 6:45 p.m.
Dvadeset dva i pedeset devet.|It's 10:59 p.m.
hobiji i activnosti|pastimes and activities
imati|to have
trebati|to need
željeti|to feel like (to want to)
namjeravati|to intend (to)
tražiti|to look for
naći|to find
(Ko traži, taj nadje!)|(Who looks for (searches), finds!)
zaljubiti se|to fall in love
poljubiti|to kiss
slušati...|to listen to...
muziku|music
pjevati|to sing
igrati|to dance
voljeti|to like, to love
klasična muzika / džez|classical music / jazz
hip-hop / tekno|hip-hop / techno
sport / tenis / fudbal|sports / tennis / soccer
košarka / golf / trčanje|basketball / golf / running
više voljeti|to prefer
obožavati|to adore
mrziti|to detest
živjeti|to live
ostati kod kuće|to stay at home
studirati|to study
čitati|to read
zaboraviti|to forget
gledati televiziju|to watch television
telefonirati|to telephone
govoriti|to speak
igrati...|to play...
fudbal / tenis / karte|soccer / tennis / cards
gitaru / klavir|guitar / piano
plivati|to swim
sresti|to meet
sanjati|to dream
raditi|to work
putovati|to travel
prilozi|adverbs
takodje|also
sad|now
kasnije|later
mnogo|a lot
malo|little / a little
rijetko|rarely
ponekad, kadkad, tu i tamo|at times
ponekad|sometimes
često|often
uvijek|always
nikad, nikada|never
kontinenti, zemlje, nacionalnosti|continents, Countries, Nationalities
kontinent|continent
zemlja|country
Afrika / afrikanac, afrikanka|Africa / African
Alžir / alžirac, alžirka|Algeria / Algerian
Maroko / marokanac, marokanka|Morocco / Moroccan
Senegal / senegalac, senegalka|Senegal / Senegalese
Tunis / tunižanin, tunižka|Tunisia / Tunisian
Sjeverna Amerika|North America
Kanada / kanadjanin, kanadjanka|Canada / Canadian
Sjedinjene Američke Države / amerikanac, amerikanka|United States / American
Meksiko / meksikanac, meksikanka|Mexico / Mexican
Južna Amerika / južnoamerikanac, južnoamerikanka|South American
Francuska Gajana / gajanac, gajanka|French Guyana / Guyanese
Azija / azijac, azijka|Asia / Asian
Kina / kinez, kineskinja|China / Chinese
Japan / japanac, japanka|Japan / Japanese
Vijetnam / vijetnamac, vijetnamka|Vietnam / Vietnamese
Okeanija|Oceania (the South Sea Islands)
Australija / australijanac, australijanka|Australia / Australian
Evropa / evropljanin, evropljanka|Europe / European
Njemačka / nijemac, nijemica|Germany / German
Engleska / englez, engleskinja|England / English
Belgija / belgijanac, belgijanka|Belgium / Belgian
Španija / španac, španjolka|Spain / Spanish
Francuska / francuz, francuskinja|France / French
Italija / italijan, italijanka|Italy / Italian
Švajcarska / švajcarac, švajcarkinja|Switzerland / Swiss
