vrijeme|weather
Kakvo je vrijeme?|What's the weather?
Lijepo je vrijme.|It's nice.
Vruće.|It's hot.
Sunčano.|It's sunny.
Svježe je.|It's cool.
Loše je vrijeme.|It's bad.
Hladno je.|It's cold.
Maglovito je.|It's foggy.
Vjetrovito je.|It's windy.
Oblačno.|It's cloudy.
Olujno.|There are storms.
Kišovito je.|It's raining.
Pada snijeg.|It's snowing.
godišnja doba|seasons
proljeće / na proljeće, u proljeće |spring / in the spring
ljeto / na ljeto, u ljeto|summer / in the summer
jesen / na jesen, u jesen|fall / in the fall
zima / na zimu, u zimu|winter / in the winter
geografija|geography
unutrašnjost|countryside
grad|town, city
provincija, oblast, pokrajina|province
regija, oblast, kraj|region
jezero|lake
velika rijeka (koja se uliva u more)|major river (that flows to the sea)
Loara|the Loire (river)
Žirona|the Garonne (river)
Rona|the Rhône (river)
Sena|the Seine (river)
more|sea
Mediteransko more|the Mediterranean Sea
okean|ocean
Atlantik, Atlantski okean|the Atlantic Ocean
La Manš|the English Channel
plaža|beach
šuma|forest
planina|mountain
Alpe|the Alps
Jura (planine)|the Jura (mountains)
Pirineji|the Pyrenees
Centralni masiv|the Massif Central
Vouž|the Vosges
strane svijeta na kompasu / busoli|points of the compass
na sjeveru|in the north
na jugu|in the south
na istoku|in the east
na zapadu|in the west
u centru|in the center
na obali|on the coast
Kontinentalna Francuska|France
Alzas|Alsace
Burgonja, Burgundija|Burgundy
Bretanja|Brittany
Azurna obala|the Riviera
Korzika|Corsica
Ile-de-France, pokrajina u Francuskoj|Ile de France
(Pariski region)|(Parisian region)
Lorena|Lorraine
Normandija|Normandy
Provansa|Provence
Dolina Loare|the Loire Valley
aktivnosti|activities
ići|to go
ići u bioskop|to go to the movies
ići u klub|to go clubbing
ići na koncert|to go to a concert
ići na univerzitet|to go to the university
ići u park|to go to the park
voziti biciklo|to go bicycle riding
voziti se brodom|to go boating
surfovati|to go windsurfing
planinariti|to go hiking
ići na skijanja|to go skiing
voziti se biciklom|to go cycling
ići na jedrenje|to go sailing
ići u šetnju, šetati se|to take a walk
ići na odmor|spend a vacation
posjetiti, obići...|to visit... (a place, not a person)
katedrala|a cathedral
dvorac, zamak|a castle
izložba|an exhibition, show
spomenik|a monument
muzej|a museum
prevozna sredstva|means of transport
Kako putujete?|How do you travel?
Putujem...|I travel...
avionom / avion|by plane / plane
brodom / brod|by boat / boat
vozom / voz|by train / train
turističkim autobusom / turističkim autobus|by tour bus (from city to city) / tour bus
kolima / kola|by car / car
Kako idete ... (na univerzitet, kod roditelja, na posao, itd.)?|How do you go... (to the university, to your parents' house, to work, etc.) ?
Idem...|I go...
metroom / metro|by subway / subway
autobusom / autobus|by bus / bus
taksijem / taksi|by taxi / taxi
motociklom / motocikl|by motorcycle / motorcycle
biciklom / bicikl|by bicycle / bicycle
pješke|on foot
glagoli|verbs
kupiti|to buy
dovesti (nekoga)|to bring somebody (along)
promijeniti|to change
spavati|to sleep
odvesti, povesti|to take somebody (along)
nadati se|to hope
pokušati, pokušavati, probati|to try
jesti|to eat
plivati|to swim
dijeliti, podijeliti, razdijeliti|to share
odlaziti|to leave
izaći vani, izlaziti vani|to go out
prosti brojevi 70-100|Cardinal Numbers 70-100
sedamdeset|70
sedamdeset jedan|71
sedamdeset dva|72
sedamdeset tri|73
sedamdeset četiri|74
sedamdeset pet|75
sedamdeset šest|76
sedamdeset sedam|77
sedamdeset osam|78
sedamdeset devet|79
osamdeset|80
osamdeset jedan|81
osamdeset dva|82
osamdeset tri|83
osamdeset četiri|84
osamdeset pet|85
osamdeset šest|86
osamdeset sedam|87
osamdeset osam|88
osamdeset devet|89
devedeset|90
devedeset jedan|91
devedeset dva|92
devedeset tri|93
devedeset četiri|94
devedeset pet|95
devedeset šest|96
devedeset sedam|97
devedeset osam|98
devedeset devet|99
sto, stotinu|100
sto dva|102
dvije stotine|200
hiljada|1.000
dvije hiljade|2.000
milion|1.000.000
