na stolu|at the table
čaša|glass
šolja|cup
zdjela|bowl
tanjir|plate
nož|knife
viljuška|fork
kašika|spoon
kuhinja, kuvanje|kitchen, cooking
obrok, jelo|meal
doručak|breakfast
ručak|lunch
užina|snack
večera|dinner, supper
u samoposluzi, u supermarketu|at the market, at the supermarket
voće|fruits
banane|bananas
trešnje|cherries
limuni|lemons
jagode|strawberries
maline|raspberries
narandže, naranče|oranges
greipfrut|grapefruit
breskve|peaches
kruške|pears
jabuke|apples
groždje|grapes
povrće|vegetables
bijeli luk|garlic
špargla, asparagus|asparagus
plavi patlidžan|eggplants
mrkve|carrots
gljive, pečurke|mushrooms
kupusi|cabbage
krastavci|cucumbers
tikvice|zucchini
špinat|spinach
boranija|green beans
zelena salata|lettuce
crni luk|onions
grašak|peas
praziluk, poriluk, prasa|leeks
zelene paprike|green peppers
krompiri|potatoes
salate|salad, lettuce
paradaizi|tomatoes
u mesari, u mesnici|at the butcher shop
Kod mesara, kupujete ...|At the butcher's, you buy ...
meso|meat
govedinu|beef
svinjetinu|pork
teletinu|veal
pačetinu (patka)|duck
ćuretinu (ćurka)|turkey
piletinu|chicken
U prodavnici suhomesnatih proizvoda|at the pork butcher shop, delicatessen
U prodavnici suhomesnatih proizvoda kupujete ...|At the pork butcher's, you buy ...
šunku|ham
paštetu|pâté
kobasice|sausages
salamu|hard sausage
U ribarnici|at the seafood shop
U ribarnici, kupujete ...|At the fish merchant's, you buy ...
ribu|fish
losos|salmon
iverak, tabinja|sole
tuna|tuna
bakalnica|at the grocery store
U bakalnici, nalazite ...|At the grocer's, you find ...
žitarice|cereal
jaja|eggs
orahe|walnuts
mliječne proizvode|dairy products
puter|butter
mlijeko|milk
sir|cheese
jogurt|yogurt
sladoled|ice cream
začine|spices
so|salt
biber|pepper
ulje|oil
sirće|vinegar
majonez|mayonnaise
senf|mustard
u pekari|at the bakery-pastry shop
U pekari, nalazite ...|At the baker's, you find ...
hljeb|bread
baget|baguette
brioš|brioche
kroasan|croissant
zemičke|roll
Kod poslastičara, nalazite ...|At the pastry chef's, you find ...
kolače, poslastice|pastries
torte|cake
čokoladne torte|chocolate cake
kolač, slatka pita|tart
kolač / pita od jabuka|apple tart
kolač / pita sa limunom|lemon tart
kolač / pita od jagoda|strawberry tart
U kafeu|at the café
U kafeu, naručujete ...|At the café, you order ...
bezalkoholna pića|non-alcoholic beverages
kafu|coffee
čaj|tea
koka-kolu|cola
vodu|water
mineralnu vodu|mineral water
voćni sok|fruit juice
alkoholna pića|alcoholic beverages
pivo|beer
šampanjac|champagne
vino|wine
bijelo vino|white wine
roze|rosé wine
crno vino|red wine
sendvič|sandwich with ham and butter
pečeni sendvić sa šunkom i sirom|toasted cheese sandwich with ham
pečeni sendvić sa šunkom, sirom jajetom|croque-monsieur with a fried egg
kiš (lorraine, od lososa, itd.)|quiche (lorraine, salmon, etc.)
omlet (sa začinima, sa sirom)|omelette (with herbs, cheese)
restoran|at the restaurant
U restoranu, naručujete ...|At the restaurant, you order ...
aperitiv|before dinner drink
predjelo|appetizer / first course
glavno jelo|main course
desert|dessert
piće|drink, beverage
tipično francusko jelo|typical French dishes
predjelo|appetizers
svježe povrće sa sirćetom|raw vegetables plus vinaigrette
salata (sa prženom slaninom, orasima, itd.)|salad (with bacon, nuts, etc.)
supa od luka|onion soup
glavno jelo|main courses
pirjana / dinstana govedina u crnom vinu|beef stewed in red wine
pirjani / dinstani pijeto u crnom vinu|chicken (rooster) stewed in red wine
stek sa prženim krompirićima|steak and French fries
desert|desserts
čokoladni mus|chocolate mousse
krem karamel|caramel custard
krem brule|crème brûlée
rastopljeni čokoladni kolač|rich chocolate flourless cake
izrazi za količinu|expressions of quantity
malo|a little
dovoljno|enough
mnogo|a lot
suviše|too much (too many)
puna kašika (nečeg)|a spoonful of
boca / flaša (nečeg)|a bottle of
bokal (nečeg)|a pitcher of
litar (nečeg)|a liter of
50 grama (nečeg)|50 grams of
kilo / kilogram (nečeg)|a kilo of
komad / parče (nečeg)|a piece of
kriška (nečeg)|a slice of
konzerva (nečeg)|a can of
govedje pečenje|a beef roast
svinjski odrezak / kotlet|a pork chop
tuce jaja|a dozen eggs
pridjevi|adjectives
divan / prekrasan / mio|delicious
svjež|fresh
začinjen|spicy
pečen na roštilju|grilled
isjeckan|chopped
slan|salty
sladak|sweet
glagoli|verbs
biti gladan / biti žedan|to be hungry / to be thirsty
piti|to drink
ručati|to have lunch
večerati|to have dinner
ići u kupovinu|to go grocery shopping
kuvati|to cook
jesti|to have a meal
prati posudje|to do the dishes
udebljati se|to gain weight
biti na dijeti|to be on a diet
smršati|to lose weight
birati|to choose
završiti|to finish
rasti|to grow up
pokoravati se, slušati|to obey
razmišljati o (nečemu)|to reflect (on)
uspjeti|to succeed
vjerovati|to believe
uzeti|to take
učiti|to learn
učiti nekoga|(to teach someone)
shvatiti, razumjeti|to understand
iznenaditi|to surprise
