grad|la ville|the city
trg|une place|public square
ulica|une rue|street
bulevar|un boulevard|boulevard
avenija|une avenue|avenue
kvart / četvrt|un quartier|neighborhood
opština|l'arrondissement (m)|administrative district in a large city (e.g. Paris)
centar grada|le centre-ville|downtown
predgradje / periferija|la banlieue|suburbs
zgrada|un bâtiment|building
kancelarija|un bureau|office
stambena zgrada|un immeuble|apartment building
kuća|une maison|house
hotel|un hôtel|hotel
butik|une boutique|boutique
prodavnica (muzička, video, itd.)|un magasin (de musique, de vidéo, etc.)|store (music, video, etc.)
šoping centar|un centre commercial|shopping center, mall
samoposluga / supermarket|un supermarché|supermarket
kafe|un café|café
restoran|un restaurant|restaurant
muzej|un musée|museum
kino / bioskop|un cinéma|movie theater
noćni klub / disko klub|une boîte de nuit / une discothèque|a nightclub, dance club
pozorište|un théâtre|theater
stadion|un stade|stadium
parkiralište / parking|un parking|parking lot
park|un parc|park
gradski park|un jardin public|park, large garden
rijeka|un fleuve|river
most|un pont|bridge
banka|une banque|bank
pošta|un bureau de poste|post office
poštansko sanduče|une boîte aux lettres|mailbox
telefonska govornica|une cabine téléphonique|phone booth
hemijska čistionica|une laverie|launderette
gradska vijećnica|l'hôtel de ville (m), la mairie|city hall, mayor's office
turist biro|l'office du tourisme (m)|chamber of commerce
bolnica|un hôpital|hospital
aerodrum|un aéroport|airport
željeznička stanica|une gare|train station
osnovna škola|une école (6 ans à 11 ans)|school
srednja škola|un collège (11 ans à 15 ans)|junior high, middle school
licej|un lycée (15 ans à 18 ans)|high school
univerzitet|une université|university
biblioteka|une bibliothèque|library
crkva|une église|church
katedrala|une cathédrale|cathedral
džamija|une mosquée|mosque
sinagoga|une synagogue|synagogue
templ|un temple|temple
mali biznis|les petits commerces|small businesses
bakalnica|une épicerie|grocery store
mesnica|une boucherie|butcher shop
prodavnica suhomesnatih proizvoda|une charcuterie|pork butchers shop, deli
ugostitelj|un traiteur|deli, catering shop
pekara|une boulangerie|bakery
poslastičarnica / slastičarna|une pâtisserie|pastry shop
trafika / kiosk|un bureau de tabac|tobacco shop
knjižara|une librairie|bookstore
knjižara / papirnica|une papeterie|paper/stationery store
apoteka|une pharmacie|pharmacy
orijentisati se|s'orienter|getting your bearings
Gdje je... ?|Où se trouve... ?|Where is... ?
(Gdje je pošta?)|(Où se trouve la poste?)|(Where is the post office?)
pored|à côté (de)|beside, next to
samo jedan korak od|à deux pas (de)|just a step from
na desno|à droite (de)|on the right
na lijevo|à gauche (de)|on the left
na kraju|au bout (de)|at the far end of
na raskrsnici|au carrefour (de)|at the intersection of
u centru|au centre|in the center
na uglu|au coin (de)|at the corner of
kod (nekoga)|chez|at someones house
pored|derrière|behind
ispred|devant|in front of
preko puta, na suprotnoj strani|en face (de)|facing, opposite
u gradu|en ville|in the city
daleko|loin (de)|far
blizu|près (de)|near, close
ispod|sous|under
na|sur|on
na vašoj desnoj/lijevoj strani|sur votre droite/gauche|on your right/left
pravo|tout droit|straight ahead
u blizini / obližnji|tout près|nearby
radni brojevi|les nombres ordinaux|ordinal numbers
prvi|premier, première|first
drugi|deuxième|second
treći|troisième|third
četvrti|quatrième|fourth
peti|cinquième|fifth
česti|sixième|sixth
sedmi|septième|seventh
osmi|huitième|eighth
deveti|neuvième|ninth
deseti|dixième|tenth
jedanaesti|onzième|eleventh
dvanaesti|douzième|twelfth
trinaesti|treizième|thirteenth
četrnaesti|quatorzième|fourteenth
petnaesti|quinzième|fifteenth
šesnaesti|seizième|sixteenth
sedamnaesti|dix-septième|seventeenth
osamnaesti|dix-huitième|eighteenth
devetnaesti|dix-neuvième|nineteenth
dvadeseti|vingtième|twentieth
glagoli koji koriste être za pravljenje prošlog vremena|verbes qui prennent être au passé composé|verbs which use être in the compound past
ići|aller|to go
izaći|sortir|to go out
otići  / poći  / otputovati|partir|to leave
ići kući|rentrer|to go home, to go back
vratiti se|retourner|to return
doći|arriver|to arrive
ući|entrer|to enter
ostati|rester|to stay
ići gore / penjati se / ići uz stepenice|monter|to go up, to go upstairs, to climb
silaziti|descendre|to go down, to go downstairs
pasti|tomber|to fall
proći pored|passer|to pass, to go by (intransitive)
roditi se|naître|to be born
umrijeti|mourir|to die
ostali glagoli|autres verbes|other verbs
ići okolo (po gradu)|se déplacer (en ville)|to get around (town)
uzeti metro, taksi, itd.|prendre le métro, un taxi, etc.|to take the metro, a taxi, etc.
ići pješice / pješke|aller à pied|to go on foot
hodati|marcher|to walk
okrenuti se|tourner|to turn
preći|traverser|to cross
nastaviti|continuer|to continue
pitati (za)|demander|to ask (for)
biti pronadjen|se trouver|to be found, to be located
čekati|attendre|to wait for
čuti|entendre|to hear
izgubiti|perdre|to lose
vratiti|rendre|to hand in, give back
posjetiti nekoga|rendre visite à quelqu'un|to visit someone
odgovoriti|répondre|to answer
prodavati|vendre|to sell
past participl nepravilnih glagola|participes passés irréguliers|irregular past participles
imati: imao sam ...|avoir: j'ai eu ...|to have: I had ...
piti: pio sam ...|boire: j'ai bu ...|to drink: I drank ...
biti: bio sam ...|être: j'ai été ...|to be: I was ...
vjerovati: vjerovao sam ...|croire: j'ai cru ...|to believe: I believed ...
raditi: radio sam ...|faire: j'ai fait ...|to do: I did ...
vidjeti: vidio sam ...|voir: j'ai vu ...|to see: I saw ...
uzeti: uzeo sam ...|prendre: j'ai pris ...|to take: I took ...
umrijeti: on / ona je umrla ...|mourir: il est mort / elle est mort(e) ...|to die: he/she died ...
staviti: stavio sam ...|mettre: j'ai mis ...|to put: I put ...
roditi se: on / ona se rodila ...|naître: il est né / elle est né(e) ...|to be born: he/she was born ...
