kod kuće|at home
kuća|house
apartman|apartment
studentski dom|university dorm
soba|a room (general term)
prozor|window
namještaj|a piece of furniture / furniture
prizemlje|ground floor, first floor
stepenice|staircase, stairs
balkon|balcony
terasa|terrace
bašta / vrt / dvorište|garden, yard
sobe|rooms
ulaz / hodnik|entranceway
ulaz / predvorje / foaje|foyer
dnevni boravak|living room
trpezarija|dining room
kuhinja|kitchen
prolaz / ulaz / hol|hallway
spavaća soba|bedroom
kupatilo|bathroom
toalet / WC|toilet
perionica|laundry room
tavan|attic
vinski podrum|cellar, wine cellar
garaža|garage
U spavaćoj sobi se nalazi...|In the bedroom there is/are...
krevet|bed
sobni ormarić|nightstand
orman|armoire
komoda|chest of drawers
pisaći sto / radni sto|desk
polica za knjige|bookcase
lampa|lamp
plakar|closet
tepih|carpet (wall to wall)
DVD / MP3|DVD / MP3 player
kompjuter, računar|computer
telefon|telephone
U kupatilu se nalaze ...|in the bathroom there is/are ...
kada|bathtub
tuš|shower
umivaonik|sink
ogledalo|mirror
U dnevnom boravku se nalaze ...|in the living room there is/are ...
sofa / kauč|couch
fotelja|armchair
mali sto / niski sto / sto za kafu|coffee table
televizor|television
slike|painting / paintings
tepih|area rug or carpet
U trpezariji se nalaze ...|in the dining room there is/are ...
sto|table
stolica|chair
kredenac|hutch, buffet
U kuhinji se nalaze ...|in the kitchen there is/are ...
frižider|refrigerator / fridge
zamrzivač|freezer
peć|stove
rerna / pećnica|oven
mikrovalna rerna / mikrovalna pećnica|microwave
mašina za pranje posudja|dishwasher
sudoper|sink
plakar|cabinet
kanta za smeće|trash can
U perionici se nalaze ...|in the laundry room there is/are ...
mašina za pranje veša|washing machine
mašina za sušenje veša|dryer
kućni poslovi|household chores
ići u kupovinu|to go shopping
ići u nabavku hrane|to do the grocery shopping
ići u kupovinu|to do errands
raditi kućne poslove|to do housework
kuvati|to cook
prati posudje|to do the dishes
pospremati|to straighten up
namještati krevet|to make the bed
čistiti kuću usisivačem|to pass the vacuum cleaner
prati veš|to do laundry
peglati|to iron
vršiti kućne popravke|to make home repairs or improvements
pridjevi|adjectives
star|old
savremen / moderan|modern
taman / mračan|dark
svijetao|bright, full of light
neuredno|messy
uredan|straightened up
čist|clean
prljav|dirty
praktičan|practical
udoban|comfortable
glagoli|verbs
seliti / preseliti|to move (change residences)
povratni glagoli|reflexive verbs
zabavljati se / uživati|to have fun
dosadjivati se|to be bored
žuriti se|to hurry
brinuti se|to worry
ljutiti se|to get angry
povratni glagoli|reciprocal verbs
raspravljati se|to argue (with one another)
družiti se|to get along (with one another)
razgovarati se|to talk to (one another)
