televizija, bioskop|television, cinema
TV|TV
daljinski upravljač|remote control
kanal|channel
tv program|television schedule
sapunica|series / soap opera
tv serija|series
tv šou|show
crtani film|cartoon
dokumentarni film|documentary
varijete šou|variety show
tv igre|game show
rijaliti šou|reality television
dnevnik, vijesti, aktuelne emisije|news show
vijesti / informativna emisija|news
aktuelnosti|current events
metereološki izvještaj|weather report
reporter / novinar|reporter / journalist
intervju|interview
reklame, reklamni program|commercial
koncert|concert
film|movie
ljubavni film / romantični film|romantic movie
naučno-fantastični film|science-fiction movie
film strave i užasa / horor film|horror movie
akcioni film|action film / adventure film
detektivski film|detective/police movie
drama|drama
komedija|comedy (movie, play)
muzički film / mjuzikl|musical
muzička komedija|musical comedy
kaubojski film|western
orginalna verzija / francuska verzija|original version / French version
sa prevodom / bez prevoda|with / without subtitles
glumac / glumica|actor / actress
slavan|celebrity
zvijezda|star (refers to men or women)
(tv, filmska, radio...) zvijezda|celebrity
negativac|the bad guy
štampa|the press
kiosk|news stand
žurnal (nacionalni, regionalni)|newspaper (national, regional)
komični strip|comic strip
oglas|classified ad
magazin|magazine
knjiga|book
roman|novel
radio|the radio
radio stanica|radio station
pjesma|song
pjevač / pjevačica|singer
grupa / bend|a band
internet|the internet
računar / kompjuter|computer
laptop|laptop
veb|the web
vebsait|website
početna stranica|homepage
forum|bulletin board, newsgroup
pretraživač|search engine
lozinka|password
imejl|e-mail
onlajn / na vezi|online
link / veza|link
telefon|the telephone
mobilni telefon|cell phone
snimljena poruka|voicemail
pismena poruka|text message
na telefonu|on the phone
Halo...|Hello...
Gdje si / šta radiš?|Where are you at / what are you doing?
Mogu li razgovarati sa...|May I speak to...
Želio / željela bih neke informacije.|I would like some information.
Jedan momenat molim Vas.|Please hold. / One moment please.
Ostanite na liniji.|Stay on the line.
Spojiću Vas sa njim / njom.|I'm putting you through to him / her. / I'm connecting you to him / her.
Koji su brojevi Vašeg telefona?|What is your phone number?
Želite li da ostavite poruku?|Do you want to leave a message?
Možete li ponovo nazvati u tri posle podne?|Could you call back at 3 p.m.?
Ko zove?|Who's on the phone?
pridjevi|adjectives
slavni / čuveni|famous
zabavan / komičan|funny
prevedeno na strani jezik|dubbed
zastrašujući|frightening
dosadan|boring
strani|foreign
besplatan|free
optimističan|optimistic / hopeful
pesimističan|pessimistic
realan|realistic
satiričan|satirical
tragičan|tragic
tužan|sad
agresivan|violent
glagoli|verbs
pretraživati (veb)|to surf (the web)
kliknuti|to click
učivati, pohraniti podatke|to download
opisati|to describe
reći|to say
pisati|to write
trajati|to last
čitati|to read
pokazati|to show
provesti (vrijeme)|to spend (time)
